  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
  HD124314A            3         Aa-Ab     20.124.410            160.65    81.44     1.71       6.20      2.21       1.75           H       PIO      
  HD124314A            3         Aa-Ab     20.124.425            156.65    27.94     1.32       0.50      0.66       0.44           H       PIO      
  #        HD124314A   2         Ba-Bb     20.061.891            245.80    -999.00   208.00     -999.00   1.30       -999.00        ???     MAS09    
  #        HD124314A   2         Ba-Bb     20.085.368            65.80     0.10      213.50     0.80      2.70       -999.00        y       TOK10    
  #        HD124314A   2         Ba-Bb     20.085.369            64.30     0.10      219.30     0.10      2.50       -999.00        y       TOK10    
  #        HD124314A   2         Ba-Bb     20.092.602            65.50     0.10      212.60     0.60      2.50       -999.00        y       TOK10    
  #        HD124314A   2         Ba-Bb     2011.1824-2012.4604   64.50     2.30      209.00     1.50      3.40       0.22           H       SAM      
  #        HD124314A   2         Ba-Bb     2011.1824-2012.4604   64.50     2.30      209.00     1.50      2.70       0.12           Ks      SAM      
  HD124314A            4         A-C       2011.1824-2012.4604   42.34     1.24      2459.28    31.16     7.01       0.23           H       IMG      
  HD124314A            4         A-C       2011.1824-2012.4604   42.34     1.24      2459.28    31.16     6.34       0.17           Ks      IMG      
  HD124314A            1         A-B       n/a                   -999.00   -999.00   2760.00    -999.00   -999.00    -999.00        y       MAS98    
  HD124314A            1         A-B       20.085.369            156.80    0.10      2757.20    0.10      2.80       -999.00        y       TOK10    
  HD124314A            1         A-B       2011.1824-2012.4604   155.71    1.21      2763.07    33.26     1.93       0.13           H       IMG      
  HD124314A            1         A-B       2011.1824-2012.4604   155.71    1.21      2763.07    33.26     1.94       0.01           Ks      IMG      
  HD125206             1         A-B       20.124.604            321.97    8.48      39.91      7.04      1.25       0.10           H       SAM      
  HD125206             1         A-B       20.124.604            321.97    8.48      39.91      7.04      1.03       0.10           Ks      SAM      
  HD125206             2         A-C       20.124.604            163.34    2.89      1172.34    55.57     6.99       0.43           H       IMG      
  HD125206             2         A-C       20.124.604            163.34    2.89      1172.34    55.57     7.07       0.48           Ks      IMG      
  HD125206             3         A-D       20.124.604            345.35    1.06      6885.04    41.94     3.65       0.17           H       IMG      
  HD125206             3         A-D       20.124.604            345.35    1.06      6885.04    41.94     3.19       0.12           Ks      IMG      
  HD125241             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD135240             1         A-B       n/a                   -999.00   -999.00   5000.00    -999.00   7.80       -999.00        V       MAS98    
  HD135240             2         AaAb-Ac   20.124.465            131.95    10.64     3.78       0.46      1.74       0.05           H       PIO      
  HD135591             1         A-B       n/a                   -999.00   -999.00   5400.00    -999.00   6.60       -999.00        V       MAS98    
  HD135591             1         A-B       20.111.825            112.47    1.12      5532.80    49.20     5.56       0.17           Ks      IMG      
  HD148546             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
